fiscal_year,month,quarter,bu,region,currency,revenue,cogs,opex,ebit
2023,1,1,Electronics,APAC,USD,120.5,70.0,32.0,18.5
2023,2,1,Electronics,APAC,USD,118.0,68.0,31.0,19.0
2023,3,1,Electronics,APAC,USD,122.0,71.0,32.0,19.0
2023,4,2,Electronics,APAC,USD,125.0,72.0,33.5,19.5
2023,5,2,Electronics,APAC,USD,126.0,73.0,34.0,19.0
2023,6,2,Electronics,APAC,USD,128.0,74.0,35.0,19.0
2023,7,3,Electronics,APAC,USD,130.0,75.0,35.5,19.5
2023,8,3,Electronics,APAC,USD,127.0,74.0,35.0,18.0
2023,9,3,Electronics,APAC,USD,129.0,75.0,36.0,18.0
2023,10,4,Electronics,APAC,USD,132.0,77.0,36.0,19.0
2023,11,4,Electronics,APAC,USD,133.0,78.0,36.0,19.0
2023,12,4,Electronics,APAC,USD,135.0,79.0,37.0,19.0
2023,1,1,Electronics,EMEA,USD,80.0,45.0,25.0,10.0
2023,2,1,Electronics,EMEA,USD,82.0,46.0,25.0,11.0
2023,3,1,Electronics,EMEA,USD,84.0,47.0,25.0,12.0
2023,4,2,Electronics,EMEA,USD,85.0,48.0,26.0,11.0
2023,5,2,Electronics,EMEA,USD,86.0,48.0,27.0,11.0
2023,6,2,Electronics,EMEA,USD,87.0,49.0,27.0,11.0
2023,1,1,Retail,APAC,USD,200.0,140.0,40.0,20.0
2023,4,2,Retail,APAC,USD,205.0,142.0,42.0,21.0
2024,1,1,Electronics,APAC,USD,128.0,75.0,33.0,20.0
2024,2,1,Electronics,APAC,USD,127.0,74.0,32.0,21.0
2024,3,1,Electronics,APAC,USD,130.0,76.0,33.0,21.0
2024,4,2,Electronics,APAC,USD,132.0,77.0,35.0,20.0
2024,5,2,Electronics,APAC,USD,133.0,77.0,35.0,21.0
2024,6,2,Electronics,APAC,USD,134.0,78.0,36.0,20.0
2024,7,3,Electronics,APAC,USD,135.0,78.0,36.0,21.0
2024,8,3,Electronics,APAC,USD,136.0,79.0,36.0,21.0
2024,9,3,Electronics,APAC,USD,137.0,80.0,36.0,21.0
2024,10,4,Electronics,APAC,USD,138.0,80.0,37.0,21.0
2024,11,4,Electronics,APAC,USD,139.0,81.0,37.0,21.0
2024,12,4,Electronics,APAC,USD,140.0,82.0,37.0,21.0
2024,1,1,Retail,APAC,USD,210.0,145.0,42.0,23.0
2024,4,2,Retail,APAC,USD,215.0,147.0,44.0,24.0
